Test (Newton = 1, ADDR_W = 8, WORD_W = 10, II = 1): RMSRE = 0.0000014983, MAX_REL_ERROR = 0.0000070169, WORST_INPUT = 17728855343104.0000000000000000000000000
Test (Newton = 1, ADDR_W = 8, WORD_W = 8, II = 1): RMSRE = 0.0000031592, MAX_REL_ERROR = 0.0000138318, WORST_INPUT = 32.2560844421386718750000000
Test (Newton = 1, ADDR_W = 8, WORD_W = 6, II = 1): RMSRE = 0.0000264211, MAX_REL_ERROR = 0.0001041808, WORST_INPUT = 1186452333512694836531924480032768.0000000000000000000000000
Test (Newton = 1, ADDR_W = 7, WORD_W = 16, II = 1): RMSRE = 0.0000054912, MAX_REL_ERROR = 0.0000223091, WORST_INPUT = 0.0000000018627819287075909
Test (Newton = 1, ADDR_W = 7, WORD_W = 14, II = 1): RMSRE = 0.0000055344, MAX_REL_ERROR = 0.0000225908, WORST_INPUT = 4503725255163904.0000000000000000000000000
Test (Newton = 1, ADDR_W = 7, WORD_W = 12, II = 1): RMSRE = 0.0000054829, MAX_REL_ERROR = 0.0000228276, WORST_INPUT = 0.0000000000001154539110799
Test (Newton = 1, ADDR_W = 7, WORD_W = 10, II = 1): RMSRE = 0.0000056435, MAX_REL_ERROR = 0.0000237705, WORST_INPUT = 18291780382359552.0000000000000000000000000
Test (Newton = 1, ADDR_W = 7, WORD_W = 8, II = 1): RMSRE = 0.0000075034, MAX_REL_ERROR = 0.0000355645, WORST_INPUT = 0.0000000000000000000000000
Test (Newton = 1, ADDR_W = 7, WORD_W = 6, II = 1): RMSRE = 0.0000296928, MAX_REL_ERROR = 0.0001220412, WORST_INPUT = 1188480541711170292017868570624.0000000000000000000000000
Test (Newton = 1, ADDR_W = 6, WORD_W = 16, II = 1): RMSRE = 0.0000218682, MAX_REL_ERROR = 0.0000878379, WORST_INPUT = 270329.7187500000000000000000000
Test (Newton = 1, ADDR_W = 6, WORD_W = 14, II = 1): RMSRE = 0.0000221839, MAX_REL_ERROR = 0.0000887908, WORST_INPUT = 151121762275329323302912.0000000000000000000000000
Test (Newton = 1, ADDR_W = 6, WORD_W = 12, II = 1): RMSRE = 0.0000221707, MAX_REL_ERROR = 0.0000905949, WORST_INPUT = 0.5000080466270446777343750
Test (Newton = 1, ADDR_W = 6, WORD_W = 10, II = 1): RMSRE = 0.0000222661, MAX_REL_ERROR = 0.0000957059, WORST_INPUT = 0.0000000000000000000000000
Test (Newton = 1, ADDR_W = 6, WORD_W = 8, II = 1): RMSRE = 0.0000244321, MAX_REL_ERROR = 0.0001099208, WORST_INPUT = 83662318663886215982731648565248.0000000000000000000000000
Test (Newton = 1, ADDR_W = 6, WORD_W = 6, II = 1): RMSRE = 0.0000491730, MAX_REL_ERROR = 0.0002133020, WORST_INPUT = 2645129649505791459196928.0000000000000000000000000
Test (Newton = 0, ADDR_W = 11, WORD_W = 16, II = 1): RMSRE = 0.0000991911, MAX_REL_ERROR = 0.0002402865, WORST_INPUT = 0.0000000000000000000000000
