rec_bipartite accuracy sweep
  NUM_SAMPLES      = 10000
  NS=0 A0=6 A1=4 A2=3 WW=17 C=2.000000  RMSRE=2.508968e-05  max_rel_error=6.133234e-05  at x=4.39786733e+37  (dut=2.27396885e-38, ref=2.27382939e-38)
  NS=0 A0=6 A1=4 A2=4 WW=18 C=2.000000  RMSRE=1.257390e-05  max_rel_error=3.376279e-05  at x=3.19138412e+26  (dut=3.13333086e-27, ref=3.13343666e-27)
  NS=0 A0=6 A1=4 A2=5 WW=19 C=2.000000  RMSRE=6.384354e-06  max_rel_error=2.022657e-05  at x=1.54888769e+26  (dut=6.45637661e-27, ref=6.45624602e-27)
  NS=0 A0=6 A1=4 A2=6 WW=20 C=2.000000  RMSRE=3.430552e-06  max_rel_error=1.354454e-05  at x=1.54888769e+26  (dut=6.45633347e-27, ref=6.45624602e-27)
  NS=0 A0=6 A1=4 A2=7 WW=20 C=2.000000  RMSRE=2.109048e-06  max_rel_error=9.726232e-06  at x=1.54888769e+26  (dut=6.45630882e-27, ref=6.45624602e-27)
  NS=0 A0=6 A1=5 A2=3 WW=18 C=2.000000  RMSRE=1.251084e-05  max_rel_error=3.187573e-05  at x=3.37986153e+35  (dut=2.95860678e-36, ref=2.95870109e-36)
  NS=0 A0=6 A1=5 A2=4 WW=19 C=2.000000  RMSRE=6.267866e-06  max_rel_error=1.736284e-05  at x=1.54888769e+26  (dut=6.45635812e-27, ref=6.45624602e-27)
  NS=0 A0=6 A1=5 A2=5 WW=20 C=2.000000  RMSRE=3.184636e-06  max_rel_error=1.074925e-05  at x=7.92680571e+28  (dut=1.26152865e-29, ref=1.26154221e-29)
  NS=0 A0=6 A1=5 A2=6 WW=21 C=2.000000  RMSRE=1.699125e-06  max_rel_error=7.171173e-06  at x=7.92680571e+28  (dut=1.26153316e-29, ref=1.26154221e-29)
  NS=0 A0=6 A1=5 A2=7 WW=21 C=2.000000  RMSRE=1.038976e-06  max_rel_error=5.262864e-06  at x=7.92680571e+28  (dut=1.26153557e-29, ref=1.26154221e-29)
  NS=0 A0=6 A1=6 A2=3 WW=19 C=2.000000  RMSRE=6.234203e-06  max_rel_error=1.635617e-05  at x=3.37986153e+35  (dut=2.9586527e-36, ref=2.95870109e-36)
  NS=0 A0=6 A1=6 A2=4 WW=20 C=2.000000  RMSRE=3.138861e-06  max_rel_error=8.840943e-06  at x=7.92680571e+28  (dut=1.26153106e-29, ref=1.26154221e-29)
  NS=0 A0=6 A1=6 A2=5 WW=21 C=2.000000  RMSRE=1.599729e-06  max_rel_error=5.262864e-06  at x=7.92680571e+28  (dut=1.26153557e-29, ref=1.26154221e-29)
  NS=0 A0=6 A1=6 A2=6 WW=22 C=2.000000  RMSRE=8.393475e-07  max_rel_error=3.354555e-06  at x=7.92680571e+28  (dut=1.26153798e-29, ref=1.26154221e-29)
  NS=0 A0=6 A1=6 A2=7 WW=22 C=2.000000  RMSRE=5.159337e-07  max_rel_error=2.566452e-06  at x=4.83691154e+24  (dut=2.06742965e-25, ref=2.06743496e-25)
  NS=0 A0=6 A1=7 A2=3 WW=20 C=2.000000  RMSRE=3.125339e-06  max_rel_error=7.911600e-06  at x=1.66543936e+35  (dut=6.00437406e-36, ref=6.00442157e-36)
  NS=0 A0=6 A1=7 A2=4 WW=21 C=2.000000  RMSRE=1.576107e-06  max_rel_error=4.308709e-06  at x=7.92680571e+28  (dut=1.26153678e-29, ref=1.26154221e-29)
  NS=0 A0=6 A1=7 A2=5 WW=22 C=2.000000  RMSRE=7.885986e-07  max_rel_error=2.519670e-06  at x=7.92680571e+28  (dut=1.26153903e-29, ref=1.26154221e-29)
  NS=0 A0=6 A1=7 A2=6 WW=23 C=2.000000  RMSRE=4.179203e-07  max_rel_error=1.718544e-06  at x=5.49953929e+11  (dut=1.81833726e-12, ref=1.81833413e-12)
  NS=0 A0=6 A1=7 A2=7 WW=23 C=2.000000  RMSRE=2.552187e-07  max_rel_error=1.241535e-06  at x=5.49953929e+11  (dut=1.81833639e-12, ref=1.81833413e-12)
  NS=0 A0=7 A1=3 A2=3 WW=17 C=2.000000  RMSRE=2.507669e-05  max_rel_error=6.266305e-05  at x=3.20008105e+29  (dut=3.12472504e-30, ref=3.12492086e-30)
  NS=0 A0=7 A1=3 A2=4 WW=18 C=2.000000  RMSRE=1.254288e-05  max_rel_error=3.145018e-05  at x=2.27016075e+12  (dut=4.40483587e-13, ref=4.40497441e-13)
  NS=0 A0=7 A1=3 A2=5 WW=19 C=2.000000  RMSRE=6.268836e-06  max_rel_error=1.767730e-05  at x=1.24651512e+27  (dut=8.02250741e-28, ref=8.02236559e-28)
  NS=0 A0=7 A1=3 A2=6 WW=20 C=2.000000  RMSRE=3.208413e-06  max_rel_error=9.975952e-06  at x=2.51233702e+24  (dut=3.980318e-25, ref=3.98035771e-25)
  NS=0 A0=7 A1=3 A2=7 WW=21 C=2.000000  RMSRE=1.714064e-06  max_rel_error=6.259918e-06  at x=2.51233702e+24  (dut=3.98033279e-25, ref=3.98035771e-25)
  NS=0 A0=7 A1=4 A2=3 WW=18 C=2.000000  RMSRE=1.249903e-05  max_rel_error=3.084174e-05  at x=6.55691731e+32  (dut=1.52515396e-33, ref=1.52510692e-33)
  NS=0 A0=7 A1=4 A2=4 WW=19 C=2.000000  RMSRE=6.238291e-06  max_rel_error=1.640826e-05  at x=1.54888769e+26  (dut=6.45635196e-27, ref=6.45624602e-27)
  NS=0 A0=7 A1=4 A2=5 WW=20 C=2.000000  RMSRE=3.139642e-06  max_rel_error=9.318021e-06  at x=7.92680571e+28  (dut=1.26153046e-29, ref=1.26154221e-29)
  NS=0 A0=7 A1=4 A2=6 WW=21 C=2.000000  RMSRE=1.602498e-06  max_rel_error=5.262864e-06  at x=7.92680571e+28  (dut=1.26153557e-29, ref=1.26154221e-29)
  NS=0 A0=7 A1=4 A2=7 WW=22 C=2.000000  RMSRE=8.441665e-07  max_rel_error=3.354555e-06  at x=7.92680571e+28  (dut=1.26153798e-29, ref=1.26154221e-29)
  NS=0 A0=7 A1=5 A2=3 WW=19 C=2.000000  RMSRE=6.230179e-06  max_rel_error=1.545369e-05  at x=1.54888769e+26  (dut=6.4563458e-27, ref=6.45624602e-27)
  NS=0 A0=7 A1=5 A2=4 WW=20 C=2.000000  RMSRE=3.122219e-06  max_rel_error=8.363866e-06  at x=7.92680571e+28  (dut=1.26153166e-29, ref=1.26154221e-29)
  NS=0 A0=7 A1=5 A2=5 WW=21 C=2.000000  RMSRE=1.575974e-06  max_rel_error=4.308709e-06  at x=7.92680571e+28  (dut=1.26153678e-29, ref=1.26154221e-29)
  NS=0 A0=7 A1=5 A2=6 WW=22 C=2.000000  RMSRE=7.898214e-07  max_rel_error=2.519670e-06  at x=7.92680571e+28  (dut=1.26153903e-29, ref=1.26154221e-29)
  NS=0 A0=7 A1=5 A2=7 WW=23 C=2.000000  RMSRE=4.180450e-07  max_rel_error=1.731778e-06  at x=4.83691154e+24  (dut=2.06743138e-25, ref=2.06743496e-25)
  NS=0 A0=7 A1=6 A2=3 WW=20 C=2.000000  RMSRE=3.124297e-06  max_rel_error=7.886789e-06  at x=7.92680571e+28  (dut=1.26153226e-29, ref=1.26154221e-29)
  NS=0 A0=7 A1=6 A2=4 WW=21 C=2.000000  RMSRE=1.570261e-06  max_rel_error=4.026474e-06  at x=2.52939364e+27  (dut=3.95353262e-28, ref=3.9535167e-28)
  NS=0 A0=7 A1=6 A2=5 WW=22 C=2.000000  RMSRE=7.749276e-07  max_rel_error=2.161862e-06  at x=7.92680571e+28  (dut=1.26153948e-29, ref=1.26154221e-29)
  NS=0 A0=7 A1=6 A2=6 WW=23 C=2.000000  RMSRE=3.905452e-07  max_rel_error=1.301161e-06  at x=5.49953929e+11  (dut=1.8183365e-12, ref=1.81833413e-12)
  NS=0 A0=7 A1=6 A2=7 WW=23 C=2.000000  RMSRE=2.131606e-07  max_rel_error=8.241517e-07  at x=5.49953929e+11  (dut=1.81833563e-12, ref=1.81833413e-12)
  NS=0 A0=7 A1=7 A2=3 WW=21 C=2.000000  RMSRE=1.569599e-06  max_rel_error=3.848960e-06  at x=1.66543936e+35  (dut=6.00439845e-36, ref=6.00442157e-36)
  NS=0 A0=7 A1=7 A2=4 WW=22 C=2.000000  RMSRE=7.736632e-07  max_rel_error=2.088998e-06  at x=2.97439076e+20  (dut=3.36204006e-21, ref=3.36203303e-21)
  NS=0 A0=7 A1=7 A2=5 WW=23 C=2.000000  RMSRE=3.837040e-07  max_rel_error=1.075963e-06  at x=4.83691154e+24  (dut=2.06743273e-25, ref=2.06743496e-25)
  NS=0 A0=7 A1=7 A2=6 WW=23 C=2.000000  RMSRE=1.997933e-07  max_rel_error=6.013652e-07  at x=579043328  (dut=1.72698544e-09, ref=1.72698648e-09)
  NS=0 A0=7 A1=7 A2=7 WW=23 C=2.000000  RMSRE=1.082985e-07  max_rel_error=3.726238e-07  at x=19003398  (dut=5.26221875e-08, ref=5.26221679e-08)
  
