# seed = 1781169358
magic_constant, RMSRE
1064401000, 8.0862988508e-02
1064402000, 8.0725164159e-02
1064403000, 8.0587387095e-02
1064404000, 8.0449622346e-02
1064405000, 8.0311880606e-02
1064406000, 8.0174190226e-02
1064407000, 8.0036500093e-02
1064408000, 7.9898849068e-02
1064409000, 7.9761242214e-02
1064410000, 7.9623658323e-02
1064411000, 7.9486111717e-02
1064412000, 7.9348596009e-02
1064413000, 7.9211101030e-02
1064414000, 7.9073641811e-02
1064415000, 7.8936223961e-02
1064416000, 7.8798818613e-02
1064417000, 7.8661448530e-02
1064418000, 7.8524113638e-02
1064419000, 7.8386834677e-02
1064420000, 7.8249606284e-02
1064421000, 7.8112403165e-02
1064422000, 7.7975216507e-02
1064423000, 7.7838070148e-02
1064424000, 7.7700980304e-02
1064425000, 7.7563951900e-02
1064426000, 7.7426952990e-02
1064427000, 7.7289994382e-02
1064428000, 7.7153077286e-02
1064429000, 7.7016222889e-02
1064430000, 7.6879431898e-02
1064431000, 7.6742687798e-02
1064432000, 7.6605966964e-02
1064433000, 7.6469292654e-02
1064434000, 7.6332666016e-02
1064435000, 7.6196054927e-02
1064436000, 7.6059500075e-02
1064437000, 7.5923000398e-02
1064438000, 7.5786552438e-02
1064439000, 7.5650159990e-02
1064440000, 7.5513795548e-02
1064441000, 7.5377481615e-02
1064442000, 7.5241218334e-02
1064443000, 7.5104973166e-02
1064444000, 7.4968758349e-02
1064445000, 7.4832590277e-02
1064446000, 7.4696458470e-02
1064447000, 7.4560372978e-02
1064448000, 7.4424353484e-02
1064449000, 7.4288405425e-02
1064450000, 7.4152529603e-02
1064451000, 7.4016725704e-02
1064452000, 7.3880993617e-02
1064453000, 7.3745305301e-02
1064454000, 7.3609666498e-02
1064455000, 7.3474071933e-02
1064456000, 7.3338497663e-02
1064457000, 7.3202981764e-02
1064458000, 7.3067541046e-02
1064459000, 7.2932157596e-02
1064460000, 7.2796830786e-02
1064461000, 7.2661560011e-02
1064462000, 7.2526336663e-02
1064463000, 7.2391145772e-02
1064464000, 7.2256015062e-02
1064465000, 7.2120921100e-02
1064466000, 7.1985900729e-02
1064467000, 7.1850919644e-02
1064468000, 7.1715979803e-02
1064469000, 7.1581108550e-02
1064470000, 7.1446288272e-02
1064471000, 7.1311490013e-02
1064472000, 7.1176732835e-02
1064473000, 7.1041996390e-02
1064474000, 7.0907307654e-02
1064475000, 7.0772673379e-02
1064476000, 7.0638103470e-02
1064477000, 7.0503593192e-02
1064478000, 7.0369137830e-02
1064479000, 7.0234743901e-02
1064480000, 7.0100411527e-02
1064481000, 6.9966099597e-02
1064482000, 6.9831870769e-02
1064483000, 6.9697714079e-02
1064484000, 6.9563590686e-02
1064485000, 6.9429508685e-02
1064486000, 6.9295482793e-02
1064487000, 6.9161520647e-02
1064488000, 6.9027637623e-02
1064489000, 6.8893836520e-02
1064490000, 6.8760113627e-02
1064491000, 6.8626477007e-02
1064492000, 6.8492914497e-02
1064493000, 6.8359426345e-02
1064494000, 6.8226018444e-02
1064495000, 6.8092684588e-02
1064496000, 6.7959418104e-02
1064497000, 6.7826222965e-02
1064498000, 6.7693110984e-02
1064499000, 6.7560087995e-02
1064500000, 6.7427150119e-02
1064501000, 6.7294276339e-02
1064502000, 6.7161461148e-02
1064503000, 6.7028734962e-02
1064504000, 6.6896097141e-02
1064505000, 6.6763515502e-02
1064506000, 6.6630999525e-02
1064507000, 6.6498566551e-02
1064508000, 6.6366228835e-02
1064509000, 6.6233957220e-02
1064510000, 6.6101774577e-02
1064511000, 6.5969690564e-02
1064512000, 6.5837698628e-02
1064513000, 6.5705814437e-02
1064514000, 6.5574020279e-02
1064515000, 6.5442314535e-02
1064516000, 6.5310714985e-02
1064517000, 6.5179224197e-02
1064518000, 6.5047824240e-02
1064519000, 6.4916527446e-02
1064520000, 6.4785329537e-02
1064521000, 6.4654244799e-02
1064522000, 6.4523234297e-02
1064523000, 6.4392287497e-02
1064524000, 6.4261422454e-02
1064525000, 6.4130663737e-02
1064526000, 6.3999981754e-02
1064527000, 6.3869404052e-02
1064528000, 6.3738929853e-02
1064529000, 6.3608512838e-02
1064530000, 6.3478194718e-02
1064531000, 6.3347977266e-02
1064532000, 6.3217873202e-02
1064533000, 6.3087891336e-02
1064534000, 6.2958016775e-02
1064535000, 6.2828237143e-02
1064536000, 6.2698550419e-02
1064537000, 6.2568957979e-02
1064538000, 6.2439459752e-02
1064539000, 6.2310044105e-02
1064540000, 6.2180721843e-02
1064541000, 6.2051517253e-02
1064542000, 6.1922426498e-02
1064543000, 6.1793455488e-02
1064544000, 6.1664587498e-02
1064545000, 6.1535822161e-02
1064546000, 6.1407173656e-02
1064547000, 6.1278622186e-02
1064548000, 6.1150167883e-02
1064549000, 6.1021834888e-02
1064550000, 6.0893615276e-02
1064551000, 6.0765471817e-02
1064552000, 6.0637436080e-02
1064553000, 6.0509519374e-02
1064554000, 6.0381691180e-02
1064555000, 6.0254002366e-02
1064556000, 6.0126432469e-02
1064557000, 5.9998987028e-02
1064558000, 5.9871666477e-02
1064559000, 5.9744449758e-02
1064560000, 5.9617355362e-02
1064561000, 5.9490408892e-02
1064562000, 5.9363606195e-02
1064563000, 5.9236936536e-02
1064564000, 5.9110398900e-02
1064565000, 5.8983988809e-02
1064566000, 5.8857713350e-02
