num_newton_steps, optimal_magic_constant, optimal_RMSRE
1, 1595420672, 0.030694
1, 1595424768, 0.030576
1, 1595428864, 0.030459
1, 1595432960, 0.030342
1, 1595437056, 0.030225
1, 1595441152, 0.030108
1, 1595445248, 0.029992
1, 1595449344, 0.029876
1, 1595453440, 0.029759
1, 1595457536, 0.029643
1, 1595461632, 0.029528
1, 1595465728, 0.029412
1, 1595469824, 0.029297
1, 1595473920, 0.029181
1, 1595478016, 0.029066
1, 1595482112, 0.028951
1, 1595486208, 0.028837
1, 1595490304, 0.028722
1, 1595494400, 0.028608
1, 1595498496, 0.028494
1, 1595502592, 0.028380
1, 1595506688, 0.028267
1, 1595510784, 0.028153
1, 1595514880, 0.028040
1, 1595518976, 0.027927
1, 1595523072, 0.027814
1, 1595527168, 0.027701
1, 1595531264, 0.027589
1, 1595535360, 0.027476
1, 1595539456, 0.027364
1, 1595543552, 0.027252
1, 1595547648, 0.027141
1, 1595551744, 0.027029
1, 1595555840, 0.026918
1, 1595559936, 0.026807
1, 1595564032, 0.026696
1, 1595568128, 0.026585
1, 1595572224, 0.026475
1, 1595576320, 0.026364
1, 1595580416, 0.026254
1, 1595584512, 0.026144
1, 1595588608, 0.026035
1, 1595592704, 0.025925
1, 1595596800, 0.025816
1, 1595600896, 0.025707
1, 1595604992, 0.025598
1, 1595609088, 0.025489
1, 1595613184, 0.025381
1, 1595617280, 0.025273
1, 1595621376, 0.025165
1, 1595625472, 0.025057
1, 1595629568, 0.024949
1, 1595633664, 0.024842
1, 1595637760, 0.024735
1, 1595641856, 0.024628
1, 1595645952, 0.024521
1, 1595650048, 0.024414
1, 1595654144, 0.024308
1, 1595658240, 0.024202
1, 1595662336, 0.024096
1, 1595666432, 0.023990
1, 1595670528, 0.023885
1, 1595674624, 0.023779
1, 1595678720, 0.023674
1, 1595682816, 0.023569
1, 1595686912, 0.023465
1, 1595691008, 0.023360
1, 1595695104, 0.023256
1, 1595699200, 0.023152
1, 1595703296, 0.023048
1, 1595707392, 0.022945
1, 1595711488, 0.022841
1, 1595715584, 0.022738
1, 1595719680, 0.022635
1, 1595723776, 0.022532
1, 1595727872, 0.022430
1, 1595731968, 0.022328
1, 1595736064, 0.022226
1, 1595740160, 0.022124
1, 1595744256, 0.022022
1, 1595748352, 0.021921
1, 1595752448, 0.021819
1, 1595756544, 0.021718
1, 1595760640, 0.021618
1, 1595764736, 0.021517
1, 1595768832, 0.021417
1, 1595772928, 0.021316
1, 1595777024, 0.021216
1, 1595781120, 0.021117
1, 1595785216, 0.021017
1, 1595789312, 0.020918
1, 1595793408, 0.020819
1, 1595797504, 0.020720
1, 1595801600, 0.020622
1, 1595805696, 0.020523
1, 1595809792, 0.020425
1, 1595813888, 0.020328
1, 1595817984, 0.020230
1, 1595822080, 0.020133
1, 1595826176, 0.020035
1, 1595830272, 0.019938
1, 1595834368, 0.019842
1, 1595838464, 0.019745
1, 1595842560, 0.019649
1, 1595846656, 0.019553
1, 1595850752, 0.019457
1, 1595854848, 0.019361
1, 1595858944, 0.019266
1, 1595863040, 0.019171
1, 1595867136, 0.019076
1, 1595871232, 0.018981
1, 1595875328, 0.018886
1, 1595879424, 0.018792
1, 1595883520, 0.018698
1, 1595887616, 0.018604
1, 1595891712, 0.018511
1, 1595895808, 0.018417
1, 1595899904, 0.018324
1, 1595904000, 0.018231
1, 1595908096, 0.018139
1, 1595912192, 0.018046
1, 1595916288, 0.017954
1, 1595920384, 0.017862
1, 1595924480, 0.017770
1, 1595928576, 0.017678
1, 1595932672, 0.017587
1, 1595936768, 0.017496
1, 1595940864, 0.017405
1, 1595944960, 0.017314
1, 1595949056, 0.017223
1, 1595953152, 0.017133
1, 1595957248, 0.017043
1, 1595961344, 0.016953
1, 1595965440, 0.016864
1, 1595969536, 0.016774
1, 1595973632, 0.016685
1, 1595977728, 0.016596
1, 1595981824, 0.016508
1, 1595985920, 0.016419
1, 1595990016, 0.016331
1, 1595994112, 0.016243
1, 1595998208, 0.016156
1, 1596002304, 0.016068
1, 1596006400, 0.015981
1, 1596010496, 0.015894
1, 1596014592, 0.015807
1, 1596018688, 0.015720
1, 1596022784, 0.015634
1, 1596026880, 0.015547
1, 1596030976, 0.015461
1, 1596035072, 0.015376
1, 1596039168, 0.015290
1, 1596043264, 0.015205
1, 1596047360, 0.015120
1, 1596051456, 0.015035
1, 1596055552, 0.014951
1, 1596059648, 0.014866
1, 1596063744, 0.014782
1, 1596067840, 0.014698
1, 1596071936, 0.014614
1, 1596076032, 0.014531
1, 1596080128, 0.014448
1, 1596084224, 0.014365
1, 1596088320, 0.014282
1, 1596092416, 0.014200
1, 1596096512, 0.014118
1, 1596100608, 0.014036
1, 1596104704, 0.013954
1, 1596108800, 0.013873
1, 1596112896, 0.013791
1, 1596116992, 0.013710
1, 1596121088, 0.013629
1, 1596125184, 0.013549
1, 1596129280, 0.013469
1, 1596133376, 0.013388
1, 1596137472, 0.013309
1, 1596141568, 0.013229
1, 1596145664, 0.013150
1, 1596149760, 0.013071
1, 1596153856, 0.012992
1, 1596157952, 0.012913
1, 1596162048, 0.012835
1, 1596166144, 0.012757
1, 1596170240, 0.012679
1, 1596174336, 0.012601
1, 1596178432, 0.012524
1, 1596182528, 0.012447
1, 1596186624, 0.012370
1, 1596190720, 0.012293
1, 1596194816, 0.012217
1, 1596198912, 0.012141
1, 1596203008, 0.012065
1, 1596207104, 0.011989
1, 1596211200, 0.011914
1, 1596215296, 0.011839
1, 1596219392, 0.011764
1, 1596223488, 0.011689
1, 1596227584, 0.011615
1, 1596231680, 0.011540
1, 1596235776, 0.011467
1, 1596239872, 0.011393
1, 1596243968, 0.011319
1, 1596248064, 0.011246
1, 1596252160, 0.011173
1, 1596256256, 0.011101
1, 1596260352, 0.011028
1, 1596264448, 0.010956
1, 1596268544, 0.010884
1, 1596272640, 0.010813
