Test (METHOD =    LOOKUP, NEWTON = 1 [WORD_WIDTH = 12, ADDR_WIDTH = 6], N = 64, SIMD = 2):  RMSRE = 0.0000253745, MAX_REL_ERROR = 0.0000862241, WORST_INPUT = 784.6577148437500000000000000 (elements = 32690)
Test (METHOD =    LOOKUP, NEWTON = 1 [WORD_WIDTH = 14, ADDR_WIDTH = 6], N = 64, SIMD = 2):  RMSRE = 0.0000236206, MAX_REL_ERROR = 0.0000894210, WORST_INPUT = 0.0529213808476924896240234 (elements = 32635)
Test (METHOD =    LOOKUP, NEWTON = 1 [WORD_WIDTH = 16, ADDR_WIDTH = 6], N = 64, SIMD = 2):  RMSRE = 0.0000250232, MAX_REL_ERROR = 0.0000867865, WORST_INPUT = 7.4633564949035644531250000 (elements = 32599)
Test (METHOD =    LOOKUP, NEWTON = 1 [WORD_WIDTH = 6, ADDR_WIDTH = 7], N = 64, SIMD = 2):   RMSRE = 0.0000322836, MAX_REL_ERROR = 0.0001161394, WORST_INPUT = -790.6181030273437500000000000 (elements = 32435)
Test (METHOD =    LOOKUP, NEWTON = 1 [WORD_WIDTH = 8, ADDR_WIDTH = 7], N = 64, SIMD = 2):   RMSRE = 0.0000084943, MAX_REL_ERROR = 0.0000334691, WORST_INPUT = 1.6376293897628784179687500 (elements = 32589)
Test (METHOD =    LOOKUP, NEWTON = 1 [WORD_WIDTH = 10, ADDR_WIDTH = 7], N = 64, SIMD = 2):  RMSRE = 0.0000062620, MAX_REL_ERROR = 0.0000248110, WORST_INPUT = -1814.1202392578125000000000000 (elements = 32651)
Test (METHOD =    LOOKUP, NEWTON = 1 [WORD_WIDTH = 12, ADDR_WIDTH = 7], N = 64, SIMD = 2):  RMSRE = 0.0000057160, MAX_REL_ERROR = 0.0000204922, WORST_INPUT = -1.3059958219528198242187500 (elements = 32683)
Test (METHOD =    LOOKUP, NEWTON = 1 [WORD_WIDTH = 14, ADDR_WIDTH = 7], N = 64, SIMD = 2):  RMSRE = 0.0000065358, MAX_REL_ERROR = 0.0000318435, WORST_INPUT = -1.7741857767105102539062500 (elements = 32505)
Test (METHOD =    LOOKUP, NEWTON = 1 [WORD_WIDTH = 16, ADDR_WIDTH = 7], N = 64, SIMD = 2):  RMSRE = 0.0000060083, MAX_REL_ERROR = 0.0000249350, WORST_INPUT = -773.6387329101562500000000000 (elements = 32702)
Test (METHOD =    LOOKUP, NEWTON = 1 [WORD_WIDTH = 6, ADDR_WIDTH = 8], N = 64, SIMD = 2):   RMSRE = 0.0000256522, MAX_REL_ERROR = 0.0000864546, WORST_INPUT = 0.0000299479961540782824159 (elements = 32542)
Test (METHOD =    LOOKUP, NEWTON = 1 [WORD_WIDTH = 8, ADDR_WIDTH = 8], N = 64, SIMD = 2):   RMSRE = 0.0000029392, MAX_REL_ERROR = 0.0000282376, WORST_INPUT = 761.5288696289062500000000000 (elements = 32654)
Test (METHOD =    LOOKUP, NEWTON = 1 [WORD_WIDTH = 10, ADDR_WIDTH = 8], N = 64, SIMD = 2):  RMSRE = 0.0000017355, MAX_REL_ERROR = 0.0000088763, WORST_INPUT = -116.9535675048828125000000000 (elements = 32701)
Test (METHOD =    LOOKUP, NEWTON = 1 [WORD_WIDTH = 12, ADDR_WIDTH = 8], N = 64, SIMD = 2):  RMSRE = 0.0000016082, MAX_REL_ERROR = 0.0000186390, WORST_INPUT = 567.0309448242187500000000000 (elements = 32547)
Test (METHOD =    LOOKUP, NEWTON = 1 [WORD_WIDTH = 14, ADDR_WIDTH = 8], N = 64, SIMD = 2):  RMSRE = 0.0000016598, MAX_REL_ERROR = 0.0000119278, WORST_INPUT = -2.1227197647094726562500000 (elements = 32406)
Test (METHOD =    LOOKUP, NEWTON = 1 [WORD_WIDTH = 16, ADDR_WIDTH = 8], N = 64, SIMD = 2):  RMSRE = 0.0000015426, MAX_REL_ERROR = 0.0000163066, WORST_INPUT = -1826.8409423828125000000000000 (elements = 32742)
Test (METHOD =    LOOKUP, NEWTON = 1 [WORD_WIDTH = 6, ADDR_WIDTH = 9], N = 64, SIMD = 2):   RMSRE = 0.0000221448, MAX_REL_ERROR = 0.0000894099, WORST_INPUT = -6.9741034507751464843750000 (elements = 32700)
Test (METHOD =    LOOKUP, NEWTON = 1 [WORD_WIDTH = 8, ADDR_WIDTH = 9], N = 64, SIMD = 2):   RMSRE = 0.0000018804, MAX_REL_ERROR = 0.0000162752, WORST_INPUT = 204.8983917236328125000000000 (elements = 32706)
