rsqrt_bipartite accuracy sweep
  NUM_SAMPLES      = 10000
  NS=0 A0=4 A1=7 A2=6 WW=20  RMSRE=1.335438e-06  max_rel_error=6.835762e-06  at x=5.51089537e+11  (dut=1.34707534e-06, ref=1.34706613e-06)
  NS=0 A0=4 A1=7 A2=7 WW=20  RMSRE=1.151170e-06  max_rel_error=5.878149e-06  at x=4.40012479e+12  (dut=4.76727337e-07, ref=4.76724534e-07)
  NS=0 A0=5 A1=3 A2=3 WW=15  RMSRE=5.099643e-05  max_rel_error=1.357566e-04  at x=0.128661484  (dut=2.78826904, ref=2.78789057)
  NS=0 A0=5 A1=3 A2=4 WW=16  RMSRE=2.557413e-05  max_rel_error=6.999502e-05  at x=1.95765119e-06  (dut=714.664062, ref=714.714089)
  NS=0 A0=5 A1=3 A2=5 WW=17  RMSRE=1.328010e-05  max_rel_error=4.455616e-05  at x=1.55184841e-36  (dut=8.02705061e+17, ref=8.02740828e+17)
  NS=0 A0=5 A1=3 A2=6 WW=18  RMSRE=7.487880e-06  max_rel_error=3.093713e-05  at x=5.57178074e-17  (dut=133972736, ref=133968591)
  NS=0 A0=5 A1=3 A2=7 WW=18  RMSRE=5.246152e-06  max_rel_error=2.520444e-05  at x=5.57178074e-17  (dut=133971968, ref=133968591)
  NS=0 A0=5 A1=4 A2=3 WW=16  RMSRE=2.524542e-05  max_rel_error=6.573023e-05  at x=2129.50317  (dut=0.0216686726, ref=0.0216700969)
  NS=0 A0=5 A1=4 A2=4 WW=17  RMSRE=1.272879e-05  max_rel_error=3.759877e-05  at x=3.24712541e-30  (dut=5.54924807e+14, ref=5.54945672e+14)
  NS=0 A0=5 A1=4 A2=5 WW=18  RMSRE=6.554722e-06  max_rel_error=2.329355e-05  at x=5.57178074e-17  (dut=133971712, ref=133968591)
  NS=0 A0=5 A1=4 A2=6 WW=19  RMSRE=3.687593e-06  max_rel_error=1.421739e-05  at x=5.87360564e-14  (dut=4126116, ref=4126174.66)
  NS=0 A0=5 A1=4 A2=7 WW=19  RMSRE=2.595149e-06  max_rel_error=1.234107e-05  at x=0.0156262536  (dut=7.99958038, ref=7.99967911)
  NS=0 A0=5 A1=5 A2=3 WW=17  RMSRE=1.264955e-05  max_rel_error=3.454312e-05  at x=32.9571381  (dut=0.174184799, ref=0.174190816)
  NS=0 A0=5 A1=5 A2=4 WW=18  RMSRE=6.335279e-06  max_rel_error=1.786171e-05  at x=2.06462093e+25  (dut=2.20075694e-13, ref=2.20079625e-13)
  NS=0 A0=5 A1=5 A2=5 WW=19  RMSRE=3.266676e-06  max_rel_error=1.128032e-05  at x=2.3802236e+18  (dut=6.48165965e-10, ref=6.48173277e-10)
  NS=0 A0=5 A1=5 A2=6 WW=20  RMSRE=1.867172e-06  max_rel_error=8.182488e-06  at x=1.70294235e+38  (dut=7.66308391e-20, ref=7.66302121e-20)
