method,params,rmsre,lut,dsp
exp:exp_splitting+rec:rec_bipartite,exp_ADDR_WIDTH_0=5;exp_ADDR_WIDTH_1=5;exp_ADDR_WIDTH_2=5;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=0;rec_ADDR_WIDTH_0=4;rec_ADDR_WIDTH_1=5;rec_ADDR_WIDTH_2=5;rec_WORD_WIDTH=17,2.104022e-05,1234,9
exp:exp_splitting+rec:rec_lookup,exp_ADDR_WIDTH_0=5;exp_ADDR_WIDTH_1=5;exp_ADDR_WIDTH_2=5;exp_WORD_WIDTH=22;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=6;rec_WORD_WIDTH=6,2.939069e-05,996,11
exp:exp_bipartite+rec:rec_bipartite,exp_ADDR_WIDTH_0=3;exp_ADDR_WIDTH_1=5;exp_ADDR_WIDTH_2=5;exp_WORD_WIDTH=17;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH_0=2;rec_ADDR_WIDTH_1=4;rec_ADDR_WIDTH_2=4;rec_WORD_WIDTH=12,3.160622e-05,1230,9
exp:exp_bipartite+rec:rec_lookup,exp_ADDR_WIDTH_0=3;exp_ADDR_WIDTH_1=5;exp_ADDR_WIDTH_2=5;exp_WORD_WIDTH=17;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=8;rec_WORD_WIDTH=8,3.164452e-05,1219,9
exp:exp_bipartite+rec:rec_bipartite,exp_ADDR_WIDTH_0=3;exp_ADDR_WIDTH_1=5;exp_ADDR_WIDTH_2=5;exp_WORD_WIDTH=17;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH_0=2;rec_ADDR_WIDTH_1=3;rec_ADDR_WIDTH_2=3;rec_WORD_WIDTH=11,3.165313e-05,1217,9
exp:exp_bipartite+rec:rec_lookup,exp_ADDR_WIDTH_0=3;exp_ADDR_WIDTH_1=5;exp_ADDR_WIDTH_2=5;exp_WORD_WIDTH=17;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=7;rec_WORD_WIDTH=10,3.172752e-05,1212,9
exp:exp_bipartite+rec:rec_lookup,exp_ADDR_WIDTH_0=3;exp_ADDR_WIDTH_1=5;exp_ADDR_WIDTH_2=5;exp_WORD_WIDTH=17;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=7;rec_WORD_WIDTH=8,3.182609e-05,1205,9
exp:exp_bipartite+rec:rec_bipartite,exp_ADDR_WIDTH_0=3;exp_ADDR_WIDTH_1=5;exp_ADDR_WIDTH_2=5;exp_WORD_WIDTH=17;rec_NUM_NEWTON_STEPS=0;rec_ADDR_WIDTH_0=4;rec_ADDR_WIDTH_1=6;rec_ADDR_WIDTH_2=6;rec_WORD_WIDTH=18,3.224094e-05,1651,7
exp:exp_bipartite+rec:rec_lookup,exp_ADDR_WIDTH_0=3;exp_ADDR_WIDTH_1=5;exp_ADDR_WIDTH_2=5;exp_WORD_WIDTH=17;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=6;rec_WORD_WIDTH=12,3.339524e-05,1202,9
exp:exp_bipartite+rec:rec_lookup,exp_ADDR_WIDTH_0=3;exp_ADDR_WIDTH_1=5;exp_ADDR_WIDTH_2=5;exp_WORD_WIDTH=17;rec_NUM_NEWTON_STEPS=1;rec_ADDR_WIDTH=6;rec_WORD_WIDTH=10,3.340501e-05,1198,9
