num_newton_steps, addr_width, word_width, RMSRE, max_rel_error
1, 8, 12, 0.000001392, 0.000006180
1, 8, 14, 0.000001383, 0.000005776
1, 8, 16, 0.000001383, 0.000005768
1, 9, 6, 0.000025255, 0.000097230
1, 9, 8, 0.000001955, 0.000008468
1, 9, 10, 0.000000465, 0.000002551
1, 9, 12, 0.000000356, 0.000001737
1, 9, 14, 0.000000348, 0.000001572
1, 9, 16, 0.000000348, 0.000001525
1, 10, 6, 0.000024864, 0.000092177
1, 10, 8, 0.000001666, 0.000006934
1, 10, 10, 0.000000204, 0.000001070
1, 10, 12, 0.000000103, 0.000000569
1, 10, 14, 0.000000096, 0.000000485
1, 10, 16, 0.000000096, 0.000000473
1, 11, 6, 0.000024782, 0.000091791
1, 11, 8, 0.000001573, 0.000006342
1, 11, 10, 0.000000131, 0.000000649
1, 11, 12, 0.000000050, 0.000000282
1, 11, 14, 0.000000046, 0.000000228
1, 11, 16, 0.000000046, 0.000000215
1, 12, 6, 0.000024767, 0.000091791
1, 12, 8, 0.000001555, 0.000005909
1, 12, 10, 0.000000111, 0.000000557
1, 12, 12, 0.000000043, 0.000000191
1, 12, 14, 0.000000041, 0.000000158
1, 12, 16, 0.000000041, 0.000000153
2, 6, 6, 0.000000048, 0.000000200
2, 6, 8, 0.000000047, 0.000000148
2, 6, 10, 0.000000047, 0.000000147
2, 6, 12, 0.000000047, 0.000000147
2, 6, 14, 0.000000047, 0.000000147
2, 6, 16, 0.000000047, 0.000000146
2, 7, 6, 0.000000047, 0.000000163
2, 7, 8, 0.000000046, 0.000000146
2, 7, 10, 0.000000046, 0.000000146
2, 7, 12, 0.000000046, 0.000000147
2, 7, 14, 0.000000046, 0.000000147
2, 7, 16, 0.000000046, 0.000000147
2, 8, 6, 0.000000047, 0.000000156
2, 8, 8, 0.000000046, 0.000000146
2, 8, 10, 0.000000045, 0.000000145
2, 8, 12, 0.000000045, 0.000000146
2, 8, 14, 0.000000045, 0.000000146
2, 8, 16, 0.000000045, 0.000000145
2, 9, 6, 0.000000047, 0.000000156
2, 9, 8, 0.000000046, 0.000000146
2, 9, 10, 0.000000044, 0.000000145
2, 9, 12, 0.000000044, 0.000000144
2, 9, 14, 0.000000044, 0.000000143
2, 9, 16, 0.000000044, 0.000000143
2, 10, 6, 0.000000047, 0.000000159
2, 10, 8, 0.000000046, 0.000000146
2, 10, 10, 0.000000042, 0.000000143
2, 10, 12, 0.000000041, 0.000000140
2, 10, 14, 0.000000041, 0.000000140
2, 10, 16, 0.000000041, 0.000000140
2, 11, 6, 0.000000047, 0.000000152
2, 11, 8, 0.000000046, 0.000000146
2, 11, 10, 0.000000041, 0.000000142
2, 11, 12, 0.000000038, 0.000000138
2, 11, 14, 0.000000038, 0.000000139
2, 11, 16, 0.000000038, 0.000000138
2, 12, 6, 0.000000047, 0.000000159
2, 12, 8, 0.000000046, 0.000000146
2, 12, 10, 0.000000041, 0.000000141
2, 12, 12, 0.000000036, 0.000000138
2, 12, 14, 0.000000036, 0.000000132
2, 12, 16, 0.000000036, 0.000000129
