NUM_NEWTON_STEPS,ADDR_WIDTH,WORD_WIDTH,RMSRE,MAX_REL_ERROR,WORST_INPUT
2,6,12,4.231e-07,1.43598e-05,856.8234252929688
2,6,14,5.032e-07,9.9767e-06,222.32286071777344
2,6,16,5.117e-07,3.70958e-05,-1861.588623046875
2,7,6,7.72e-07,1.47878e-05,1026.0697021484375
2,7,8,5.167e-07,1.94327e-05,-17.934276580810547
2,7,10,4.307e-07,8.7717e-06,21.04595375061035
2,7,12,7.289e-07,1.13853e-05,0.5696060061454773
2,7,14,4.795e-07,2.43303e-05,7.7205352783203125
2,7,16,9.84e-07,2.35634e-05,0.8445054888725281
2,8,6,4.296e-07,1.97576e-05,146.69268798828125
2,8,8,4.072e-07,2.75161e-05,761.5288696289062
2,8,10,3.167e-07,8.2462e-06,-253.5550994873047
2,8,12,4.975e-07,1.59863e-05,567.0309448242188
2,8,14,5.04e-07,1.17195e-05,-2.1227197647094727
2,8,16,4.278e-07,1.56078e-05,-1826.8409423828125
2,9,6,3.575e-07,1.56059e-05,1.1589230298995972
2,9,8,3.739e-07,1.5928e-05,204.8983917236328
2,9,10,5.487e-07,1.07142e-05,1594.0435791015625
2,9,12,3.928e-07,1.32847e-05,927.601806640625
2,9,14,2.793e-07,1.17099e-05,-312.7271728515625
2,9,16,4.205e-07,1.01168e-05,396.7174987792969
2,10,6,4.388e-07,2.12628e-05,1150.6378173828125
2,10,8,4.956e-07,1.79951e-05,-582.21533203125
2,10,10,4.996e-07,1.22306e-05,-32.937496185302734
2,10,12,4.589e-07,1.19072e-05,905.1564331054688
2,10,14,3.418e-07,1.21772e-05,1633.2210693359375
2,10,16,5.624e-07,1.76669e-05,96.56758880615234
2,11,6,4.577e-07,1.12233e-05,-0.5568559765815735
2,11,8,4.538e-07,9.8836e-06,4.529690265655518
2,11,10,3.662e-07,2.01213e-05,517.6865844726562
2,11,12,4.336e-07,2.85978e-05,1345.13916015625
2,11,14,5.199e-07,5.03019e-05,-2767.788330078125
2,11,16,4.609e-07,1.10593e-05,-568.3870239257812
