Test (Newton = 0, ADDR_0 = 4, ADDR_1 = 7, ADDR_2 = 5, WORD = 20): RMSRE = 0.0000018959, MAX_REL_ERROR = 0.0000079301, WORST_INPUT = 0.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 4, ADDR_1 = 7, ADDR_2 = 4, WORD = 19): RMSRE = 0.0000033501, MAX_REL_ERROR = 0.0000116811, WORST_INPUT = 36992.0039062500000000000000000
Test (Newton = 0, ADDR_0 = 4, ADDR_1 = 7, ADDR_2 = 3, WORD = 18): RMSRE = 0.0000064951, MAX_REL_ERROR = 0.0000210158, WORST_INPUT = 81169262167270370781619174768640.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 4, ADDR_1 = 6, ADDR_2 = 7, WORD = 19): RMSRE = 0.0000023155, MAX_REL_ERROR = 0.0000110891, WORST_INPUT = 0.2507385313510894775390625
Test (Newton = 0, ADDR_0 = 4, ADDR_1 = 6, ADDR_2 = 6, WORD = 19): RMSRE = 0.0000026473, MAX_REL_ERROR = 0.0000131932, WORST_INPUT = 0.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 4, ADDR_1 = 6, ADDR_2 = 5, WORD = 19): RMSRE = 0.0000038133, MAX_REL_ERROR = 0.0000153144, WORST_INPUT = 0.0000000000019344465265747
Test (Newton = 0, ADDR_0 = 4, ADDR_1 = 6, ADDR_2 = 4, WORD = 18): RMSRE = 0.0000067303, MAX_REL_ERROR = 0.0000248507, WORST_INPUT = 624847426699892097024.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 4, ADDR_1 = 6, ADDR_2 = 3, WORD = 17): RMSRE = 0.0000130150, MAX_REL_ERROR = 0.0000372113, WORST_INPUT = 2560682295807813038859068899328.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 4, ADDR_1 = 5, ADDR_2 = 7, WORD = 18): RMSRE = 0.0000046501, MAX_REL_ERROR = 0.0000242089, WORST_INPUT = 8405270.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 4, ADDR_1 = 5, ADDR_2 = 6, WORD = 18): RMSRE = 0.0000054121, MAX_REL_ERROR = 0.0000262147, WORST_INPUT = 633869350348666908798904958976.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 4, ADDR_1 = 5, ADDR_2 = 5, WORD = 18): RMSRE = 0.0000076193, MAX_REL_ERROR = 0.0000320763, WORST_INPUT = 0.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 4, ADDR_1 = 5, ADDR_2 = 4, WORD = 17): RMSRE = 0.0000134145, MAX_REL_ERROR = 0.0000481595, WORST_INPUT = 0.0000000018665275991480712
Test (Newton = 0, ADDR_0 = 4, ADDR_1 = 5, ADDR_2 = 3, WORD = 16): RMSRE = 0.0000257434, MAX_REL_ERROR = 0.0000848995, WORST_INPUT = 1300610908516707561988426750230528.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 4, ADDR_1 = 4, ADDR_2 = 7, WORD = 17): RMSRE = 0.0000093014, MAX_REL_ERROR = 0.0000458276, WORST_INPUT = 0.0000020264014892745763063
Test (Newton = 0, ADDR_0 = 4, ADDR_1 = 4, ADDR_2 = 6, WORD = 17): RMSRE = 0.0000108281, MAX_REL_ERROR = 0.0000519750, WORST_INPUT = 84185098385071083824294658048.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 4, ADDR_1 = 4, ADDR_2 = 5, WORD = 17): RMSRE = 0.0000151852, MAX_REL_ERROR = 0.0000665720, WORST_INPUT = 0.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 4, ADDR_1 = 4, ADDR_2 = 4, WORD = 16): RMSRE = 0.0000269427, MAX_REL_ERROR = 0.0000894401, WORST_INPUT = 1185784271087769485312.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 4, ADDR_1 = 4, ADDR_2 = 3, WORD = 15): RMSRE = 0.0000520888, MAX_REL_ERROR = 0.0001547875, WORST_INPUT = 0.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 4, ADDR_1 = 3, ADDR_2 = 7, WORD = 16): RMSRE = 0.0000188653, MAX_REL_ERROR = 0.0000871883, WORST_INPUT = 0.0000000000000000017481631
Test (Newton = 0, ADDR_0 = 4, ADDR_1 = 3, ADDR_2 = 6, WORD = 16): RMSRE = 0.0000213882, MAX_REL_ERROR = 0.0001055361, WORST_INPUT = 72075375202533376.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 4, ADDR_1 = 3, ADDR_2 = 5, WORD = 16): RMSRE = 0.0000302247, MAX_REL_ERROR = 0.0001247756, WORST_INPUT = 0.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 4, ADDR_1 = 3, ADDR_2 = 4, WORD = 15): RMSRE = 0.0000537052, MAX_REL_ERROR = 0.0001837284, WORST_INPUT = 306105858238971904.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 4, ADDR_1 = 3, ADDR_2 = 3, WORD = 14): RMSRE = 0.0001037500, MAX_REL_ERROR = 0.0002920218, WORST_INPUT = 2207761.2500000000000000000000000
Test (Newton = 0, ADDR_0 = 3, ADDR_1 = 7, ADDR_2 = 7, WORD = 18): RMSRE = 0.0000044520, MAX_REL_ERROR = 0.0000212762, WORST_INPUT = 65604.0156250000000000000000000
Test (Newton = 0, ADDR_0 = 3, ADDR_1 = 7, ADDR_2 = 6, WORD = 18): RMSRE = 0.0000047132, MAX_REL_ERROR = 0.0000230314, WORST_INPUT = 0.0000000000000000000033948
Test (Newton = 0, ADDR_0 = 3, ADDR_1 = 7, ADDR_2 = 5, WORD = 18): RMSRE = 0.0000052918, MAX_REL_ERROR = 0.0000267504, WORST_INPUT = 0.0000019129968222841853276
Test (Newton = 0, ADDR_0 = 3, ADDR_1 = 7, ADDR_2 = 4, WORD = 18): RMSRE = 0.0000075763, MAX_REL_ERROR = 0.0000320098, WORST_INPUT = 34460323840.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 3, ADDR_1 = 7, ADDR_2 = 3, WORD = 17): RMSRE = 0.0000135757, MAX_REL_ERROR = 0.0000489995, WORST_INPUT = 18944808415499523194880.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 3, ADDR_1 = 6, ADDR_2 = 7, WORD = 17): RMSRE = 0.0000090528, MAX_REL_ERROR = 0.0000439668, WORST_INPUT = 0.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 3, ADDR_1 = 6, ADDR_2 = 6, WORD = 17): RMSRE = 0.0000094060, MAX_REL_ERROR = 0.0000416617, WORST_INPUT = 0.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 3, ADDR_1 = 6, ADDR_2 = 5, WORD = 17): RMSRE = 0.0000107771, MAX_REL_ERROR = 0.0000520416, WORST_INPUT = 2199169269760.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 3, ADDR_1 = 6, ADDR_2 = 4, WORD = 17): RMSRE = 0.0000152237, MAX_REL_ERROR = 0.0000596390, WORST_INPUT = 0.0313070081174373626708984
Test (Newton = 0, ADDR_0 = 3, ADDR_1 = 6, ADDR_2 = 3, WORD = 16): RMSRE = 0.0000269128, MAX_REL_ERROR = 0.0000882757, WORST_INPUT = 10374065930903748608.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 3, ADDR_1 = 5, ADDR_2 = 7, WORD = 16): RMSRE = 0.0000178170, MAX_REL_ERROR = 0.0000893858, WORST_INPUT = 0.0156859010457992553710938
Test (Newton = 0, ADDR_0 = 3, ADDR_1 = 5, ADDR_2 = 6, WORD = 16): RMSRE = 0.0000189750, MAX_REL_ERROR = 0.0000897637, WORST_INPUT = 0.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 3, ADDR_1 = 5, ADDR_2 = 5, WORD = 16): RMSRE = 0.0000213321, MAX_REL_ERROR = 0.0001054326, WORST_INPUT = 0.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 3, ADDR_1 = 5, ADDR_2 = 4, WORD = 16): RMSRE = 0.0000310599, MAX_REL_ERROR = 0.0001421090, WORST_INPUT = 8590069760.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 3, ADDR_1 = 5, ADDR_2 = 3, WORD = 15): RMSRE = 0.0000538756, MAX_REL_ERROR = 0.0001953250, WORST_INPUT = 0.0000000000036380009248160
Test (Newton = 0, ADDR_0 = 3, ADDR_1 = 4, ADDR_2 = 7, WORD = 15): RMSRE = 0.0299991087, MAX_REL_ERROR = 2.9999086860, WORST_INPUT = 274873745408.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 3, ADDR_1 = 4, ADDR_2 = 6, WORD = 15): RMSRE = 0.0424243252, MAX_REL_ERROR = 2.9998723273, WORST_INPUT = 3.9998667240142822265625000
Test (Newton = 0, ADDR_0 = 3, ADDR_1 = 4, ADDR_2 = 5, WORD = 15): RMSRE = 0.0000427626, MAX_REL_ERROR = 0.0001931136, WORST_INPUT = 0.0000000000081840393836852
Test (Newton = 0, ADDR_0 = 3, ADDR_1 = 4, ADDR_2 = 4, WORD = 15): RMSRE = 0.0000609968, MAX_REL_ERROR = 0.0002718246, WORST_INPUT = 0.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 3, ADDR_1 = 4, ADDR_2 = 3, WORD = 14): RMSRE = 0.0001066985, MAX_REL_ERROR = 0.0004061851, WORST_INPUT = 0.0000000074506214531311343
Test (Newton = 0, ADDR_0 = 3, ADDR_1 = 3, ADDR_2 = 7, WORD = 14): RMSRE = 0.0000707075, MAX_REL_ERROR = 0.0003595113, WORST_INPUT = 2305871871393923072.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 3, ADDR_1 = 3, ADDR_2 = 6, WORD = 14): RMSRE = 0.0299976659, MAX_REL_ERROR = 2.9997574110, WORST_INPUT = 0.0000000000000000000000000
Test (Newton = 0, ADDR_0 = 3, ADDR_1 = 3, ADDR_2 = 5, WORD = 14): RMSRE = 0.0000855669, MAX_REL_ERROR = 0.0003672890, WORST_INPUT = 0.0000000000000009020572663
Test (Newton = 0, ADDR_0 = 3, ADDR_1 = 3, ADDR_2 = 4, WORD = 14): RMSRE = 0.0001213011, MAX_REL_ERROR = 0.0005339640, WORST_INPUT = 0.0000000000000000000004236
Test (Newton = 0, ADDR_0 = 3, ADDR_1 = 3, ADDR_2 = 3, WORD = 13): RMSRE = 0.0002168067, MAX_REL_ERROR = 0.0007368254, WORST_INPUT = 308701495296.0000000000000000000000000
